day_of_as_of_date,age_groups,clinical_status,count_of_case
2022-06-12,70 years old and above,Requires Oxygen Supplementation in General Ward,21
2022-06-13,70 years old and above,Requires Oxygen Supplementation in General Ward,24
2022-06-14,70 years old and above,Requires Oxygen Supplementation in General Ward,24
2022-06-15,70 years old and above,Requires Oxygen Supplementation in General Ward,23
2022-06-16,70 years old and above,Requires Oxygen Supplementation in General Ward,21
2022-06-17,70 years old and above,Requires Oxygen Supplementation in General Ward,17
2022-06-18,70 years old and above,Requires Oxygen Supplementation in General Ward,28
2022-06-19,70 years old and above,Requires Oxygen Supplementation in General Ward,20
2022-06-20,70 years old and above,Requires Oxygen Supplementation in General Ward,26
2022-06-21,70 years old and above,Requires Oxygen Supplementation in General Ward,22
2022-06-22,70 years old and above,Requires Oxygen Supplementation in General Ward,23
2022-06-23,70 years old and above,Requires Oxygen Supplementation in General Ward,19
2022-06-24,70 years old and above,Requires Oxygen Supplementation in General Ward,19
2022-06-25,70 years old and above,Requires Oxygen Supplementation in General Ward,15
2022-06-26,70 years old and above,Requires Oxygen Supplementation in General Ward,15
2022-06-27,70 years old and above,Requires Oxygen Supplementation in General Ward,18
2022-06-28,70 years old and above,Requires Oxygen Supplementation in General Ward,30
2022-06-29,70 years old and above,Requires Oxygen Supplementation in General Ward,38
2022-06-30,70 years old and above,Requires Oxygen Supplementation in General Ward,40
2022-07-01,70 years old and above,Requires Oxygen Supplementation in General Ward,42
2022-07-02,70 years old and above,Requires Oxygen Supplementation in General Ward,51
2022-07-03,70 years old and above,Requires Oxygen Supplementation in General Ward,58
2022-07-04,70 years old and above,Requires Oxygen Supplementation in General Ward,56
2022-07-05,70 years old and above,Requires Oxygen Supplementation in General Ward,55
2022-07-06,70 years old and above,Requires Oxygen Supplementation in General Ward,57
2022-06-09,70 years old and above,Hospitalised,114
2022-06-10,70 years old and above,Hospitalised,114
2022-06-11,70 years old and above,Hospitalised,123
2022-06-12,70 years old and above,Hospitalised,127
2022-06-13,70 years old and above,Hospitalised,136
2022-06-14,70 years old and above,Hospitalised,131
2022-06-15,70 years old and above,Hospitalised,124
2022-06-16,70 years old and above,Hospitalised,121
2022-06-17,70 years old and above,Hospitalised,139
2022-06-18,70 years old and above,Hospitalised,132
2022-06-19,70 years old and above,Hospitalised,149
2022-06-20,70 years old and above,Hospitalised,153
2022-06-21,70 years old and above,Hospitalised,172
2022-06-22,70 years old and above,Hospitalised,165
2022-06-23,70 years old and above,Hospitalised,182
2022-06-24,70 years old and above,Hospitalised,187
2022-06-25,70 years old and above,Hospitalised,198
2022-06-26,70 years old and above,Hospitalised,208
2022-06-27,70 years old and above,Hospitalised,228
2022-06-28,70 years old and above,Hospitalised,236
2022-06-29,70 years old and above,Hospitalised,239
2022-06-30,70 years old and above,Hospitalised,249
2022-07-01,70 years old and above,Hospitalised,267
2022-07-02,70 years old and above,Hospitalised,281
2022-07-03,70 years old and above,Hospitalised,300
2022-07-04,70 years old and above,Hospitalised,327
2022-07-05,70 years old and above,Hospitalised,357
2022-07-06,70 years old and above,Hospitalised,366
2022-06-19,60 - 69 years old,Deceased (based on date of death),1
2022-06-30,60 - 69 years old,Deceased (based on date of death),1
2022-06-19,60 - 69 years old,ICU,1
2022-06-21,60 - 69 years old,ICU,1
2022-06-22,60 - 69 years old,ICU,1
2022-06-24,60 - 69 years old,ICU,1
2022-06-25,60 - 69 years old,ICU,2
2022-06-26,60 - 69 years old,ICU,2
2022-06-27,60 - 69 years old,ICU,2
2022-06-28,60 - 69 years old,ICU,2
2022-06-29,60 - 69 years old,ICU,2
2022-06-30,60 - 69 years old,ICU,5
2022-07-01,60 - 69 years old,ICU,4
2022-07-02,60 - 69 years old,ICU,3
2022-07-03,60 - 69 years old,ICU,2
2022-07-04,60 - 69 years old,ICU,1
2022-07-05,60 - 69 years old,ICU,2
2022-07-06,60 - 69 years old,ICU,3
2022-06-09,60 - 69 years old,Requires Oxygen Supplementation in General Ward,5
2022-06-10,60 - 69 years old,Requires Oxygen Supplementation in General Ward,2
2022-06-11,60 - 69 years old,Requires Oxygen Supplementation in General Ward,3
2022-06-12,60 - 69 years old,Requires Oxygen Supplementation in General Ward,2
2022-06-13,60 - 69 years old,Requires Oxygen Supplementation in General Ward,1
2022-06-14,60 - 69 years old,Requires Oxygen Supplementation in General Ward,1
2022-06-15,60 - 69 years old,Requires Oxygen Supplementation in General Ward,3
2022-06-16,60 - 69 years old,Requires Oxygen Supplementation in General Ward,5
2022-06-17,60 - 69 years old,Requires Oxygen Supplementation in General Ward,7
2022-06-18,60 - 69 years old,Requires Oxygen Supplementation in General Ward,6
2022-06-19,60 - 69 years old,Requires Oxygen Supplementation in General Ward,5
2022-06-20,60 - 69 years old,Requires Oxygen Supplementation in General Ward,7
2022-06-21,60 - 69 years old,Requires Oxygen Supplementation in General Ward,5
2022-06-22,60 - 69 years old,Requires Oxygen Supplementation in General Ward,6
2022-06-23,60 - 69 years old,Requires Oxygen Supplementation in General Ward,7
2022-06-24,60 - 69 years old,Requires Oxygen Supplementation in General Ward,5
2022-06-25,60 - 69 years old,Requires Oxygen Supplementation in General Ward,6
2022-06-26,60 - 69 years old,Requires Oxygen Supplementation in General Ward,2
2022-06-27,60 - 69 years old,Requires Oxygen Supplementation in General Ward,6
2022-06-28,60 - 69 years old,Requires Oxygen Supplementation in General Ward,4
2022-06-29,60 - 69 years old,Requires Oxygen Supplementation in General Ward,5
2022-06-30,60 - 69 years old,Requires Oxygen Supplementation in General Ward,6
2022-07-01,60 - 69 years old,Requires Oxygen Supplementation in General Ward,6
2022-07-02,60 - 69 years old,Requires Oxygen Supplementation in General Ward,5
2022-07-03,60 - 69 years old,Requires Oxygen Supplementation in General Ward,9
2022-07-04,60 - 69 years old,Requires Oxygen Supplementation in General Ward,11
2022-07-05,60 - 69 years old,Requires Oxygen Supplementation in General Ward,14
2022-07-06,60 - 69 years old,Requires Oxygen Supplementation in General Ward,14
2022-06-09,60 - 69 years old,Hospitalised,37
2022-06-10,60 - 69 years old,Hospitalised,38
2022-06-11,60 - 69 years old,Hospitalised,33
2022-06-12,60 - 69 years old,Hospitalised,37
2022-06-13,60 - 69 years old,Hospitalised,37
2022-06-14,60 - 69 years old,Hospitalised,38
2022-06-15,60 - 69 years old,Hospitalised,37
2022-06-16,60 - 69 years old,Hospitalised,40
2022-06-17,60 - 69 years old,Hospitalised,40
2022-06-18,60 - 69 years old,Hospitalised,43
2022-06-19,60 - 69 years old,Hospitalised,29
2022-06-20,60 - 69 years old,Hospitalised,34
2022-06-21,60 - 69 years old,Hospitalised,40
2022-06-22,60 - 69 years old,Hospitalised,40
2022-06-23,60 - 69 years old,Hospitalised,42
2022-06-24,60 - 69 years old,Hospitalised,49
2022-06-25,60 - 69 years old,Hospitalised,47
2022-06-26,60 - 69 years old,Hospitalised,52
2022-06-27,60 - 69 years old,Hospitalised,49
2022-06-28,60 - 69 years old,Hospitalised,47
2022-06-29,60 - 69 years old,Hospitalised,57
2022-06-30,60 - 69 years old,Hospitalised,66
2022-07-01,60 - 69 years old,Hospitalised,65
2022-07-02,60 - 69 years old,Hospitalised,64
2022-07-03,60 - 69 years old,Hospitalised,66
2022-07-04,60 - 69 years old,Hospitalised,76
2022-07-05,60 - 69 years old,Hospitalised,89
2022-07-06,60 - 69 years old,Hospitalised,89
2022-06-25,40 - 59 years old,ICU,1
2022-06-26,40 - 59 years old,ICU,1
2022-06-27,40 - 59 years old,ICU,1
2022-06-28,40 - 59 years old,ICU,2
2022-06-29,40 - 59 years old,ICU,2
2022-06-30,40 - 59 years old,ICU,2
2022-07-01,40 - 59 years old,ICU,1
2022-07-02,40 - 59 years old,ICU,1
2022-07-03,40 - 59 years old,ICU,1
2022-07-04,40 - 59 years old,ICU,1
2022-07-05,40 - 59 years old,ICU,1
2022-07-06,40 - 59 years old,ICU,1
2022-06-09,40 - 59 years old,Requires Oxygen Supplementation in General Ward,1
2022-06-10,40 - 59 years old,Requires Oxygen Supplementation in General Ward,1
2022-06-11,40 - 59 years old,Requires Oxygen Supplementation in General Ward,1
2022-06-12,40 - 59 years old,Requires Oxygen Supplementation in General Ward,1
2022-06-13,40 - 59 years old,Requires Oxygen Supplementation in General Ward,1
2022-06-14,40 - 59 years old,Requires Oxygen Supplementation in General Ward,2
2022-06-15,40 - 59 years old,Requires Oxygen Supplementation in General Ward,2
2022-06-16,40 - 59 years old,Requires Oxygen Supplementation in General Ward,1
2022-06-17,40 - 59 years old,Requires Oxygen Supplementation in General Ward,1
2022-06-18,40 - 59 years old,Requires Oxygen Supplementation in General Ward,1
2022-06-19,40 - 59 years old,Requires Oxygen Supplementation in General Ward,1
2022-06-22,40 - 59 years old,Requires Oxygen Supplementation in General Ward,1
2022-06-23,40 - 59 years old,Requires Oxygen Supplementation in General Ward,2
2022-06-24,40 - 59 years old,Requires Oxygen Supplementation in General Ward,4
2022-06-25,40 - 59 years old,Requires Oxygen Supplementation in General Ward,1
2022-06-26,40 - 59 years old,Requires Oxygen Supplementation in General Ward,2
2022-06-27,40 - 59 years old,Requires Oxygen Supplementation in General Ward,1
2022-06-28,40 - 59 years old,Requires Oxygen Supplementation in General Ward,1
2022-06-29,40 - 59 years old,Requires Oxygen Supplementation in General Ward,2
2022-06-30,40 - 59 years old,Requires Oxygen Supplementation in General Ward,3
2022-07-01,40 - 59 years old,Requires Oxygen Supplementation in General Ward,5
2022-07-02,40 - 59 years old,Requires Oxygen Supplementation in General Ward,6
2022-07-03,40 - 59 years old,Requires Oxygen Supplementation in General Ward,6
2022-07-04,40 - 59 years old,Requires Oxygen Supplementation in General Ward,6
2022-07-05,40 - 59 years old,Requires Oxygen Supplementation in General Ward,6
2022-07-06,40 - 59 years old,Requires Oxygen Supplementation in General Ward,8
2022-06-09,40 - 59 years old,Hospitalised,24
2022-06-10,40 - 59 years old,Hospitalised,23
2022-06-11,40 - 59 years old,Hospitalised,22
2022-06-12,40 - 59 years old,Hospitalised,20
2022-06-13,40 - 59 years old,Hospitalised,20
2022-06-14,40 - 59 years old,Hospitalised,17
2022-06-15,40 - 59 years old,Hospitalised,19
2022-06-16,40 - 59 years old,Hospitalised,21
2022-06-17,40 - 59 years old,Hospitalised,24
2022-06-18,40 - 59 years old,Hospitalised,23
2022-06-19,40 - 59 years old,Hospitalised,25
2022-06-20,40 - 59 years old,Hospitalised,26
2022-06-21,40 - 59 years old,Hospitalised,29
2022-06-22,40 - 59 years old,Hospitalised,26
2022-06-23,40 - 59 years old,Hospitalised,32
2022-06-24,40 - 59 years old,Hospitalised,34
2022-06-25,40 - 59 years old,Hospitalised,29
2022-06-26,40 - 59 years old,Hospitalised,33
2022-06-27,40 - 59 years old,Hospitalised,43
2022-06-28,40 - 59 years old,Hospitalised,43
2022-06-29,40 - 59 years old,Hospitalised,50
2022-06-30,40 - 59 years old,Hospitalised,48
2022-07-01,40 - 59 years old,Hospitalised,48
2022-07-02,40 - 59 years old,Hospitalised,54
2022-07-03,40 - 59 years old,Hospitalised,55
2022-07-04,40 - 59 years old,Hospitalised,47
2022-07-05,40 - 59 years old,Hospitalised,50
2022-07-06,40 - 59 years old,Hospitalised,50
2022-07-04,20 - 39 years old,ICU,1
2022-06-09,20 - 39 years old,Requires Oxygen Supplementation in General Ward,1
2022-06-10,20 - 39 years old,Requires Oxygen Supplementation in General Ward,1
2022-06-11,20 - 39 years old,Requires Oxygen Supplementation in General Ward,1
2022-06-27,20 - 39 years old,Requires Oxygen Supplementation in General Ward,1
2022-06-28,20 - 39 years old,Requires Oxygen Supplementation in General Ward,1
2022-06-29,20 - 39 years old,Requires Oxygen Supplementation in General Ward,1
2022-07-01,20 - 39 years old,Requires Oxygen Supplementation in General Ward,1
2022-07-02,20 - 39 years old,Requires Oxygen Supplementation in General Ward,2
2022-07-03,20 - 39 years old,Requires Oxygen Supplementation in General Ward,1
2022-07-04,20 - 39 years old,Requires Oxygen Supplementation in General Ward,1
2022-07-05,20 - 39 years old,Requires Oxygen Supplementation in General Ward,2
2022-07-06,20 - 39 years old,Requires Oxygen Supplementation in General Ward,2
2022-06-09,20 - 39 years old,Hospitalised,11
2022-06-10,20 - 39 years old,Hospitalised,14
2022-06-11,20 - 39 years old,Hospitalised,15
2022-06-12,20 - 39 years old,Hospitalised,18
2022-06-13,20 - 39 years old,Hospitalised,17
2022-06-14,20 - 39 years old,Hospitalised,14
2022-06-15,20 - 39 years old,Hospitalised,17
2022-06-16,20 - 39 years old,Hospitalised,15
2022-06-17,20 - 39 years old,Hospitalised,19
2022-06-18,20 - 39 years old,Hospitalised,22
2022-06-19,20 - 39 years old,Hospitalised,17
2022-06-20,20 - 39 years old,Hospitalised,18
2022-06-21,20 - 39 years old,Hospitalised,14
2022-06-22,20 - 39 years old,Hospitalised,19
2022-06-23,20 - 39 years old,Hospitalised,17
2022-06-24,20 - 39 years old,Hospitalised,17
2022-06-25,20 - 39 years old,Hospitalised,21
2022-06-26,20 - 39 years old,Hospitalised,25
2022-06-27,20 - 39 years old,Hospitalised,32
2022-06-28,20 - 39 years old,Hospitalised,31
2022-06-29,20 - 39 years old,Hospitalised,19
2022-06-30,20 - 39 years old,Hospitalised,25
2022-07-01,20 - 39 years old,Hospitalised,26
2022-07-02,20 - 39 years old,Hospitalised,38
2022-07-03,20 - 39 years old,Hospitalised,37
2022-07-04,20 - 39 years old,Hospitalised,42
2022-07-05,20 - 39 years old,Hospitalised,44
2022-07-06,20 - 39 years old,Hospitalised,40
2022-06-09,12 - 19 years old,Hospitalised,2
2022-06-10,12 - 19 years old,Hospitalised,4
2022-06-11,12 - 19 years old,Hospitalised,3
2022-06-12,12 - 19 years old,Hospitalised,2
2022-06-13,12 - 19 years old,Hospitalised,5
2022-06-14,12 - 19 years old,Hospitalised,4
2022-06-15,12 - 19 years old,Hospitalised,3
2022-06-17,12 - 19 years old,Hospitalised,1
2022-06-18,12 - 19 years old,Hospitalised,2
2022-06-19,12 - 19 years old,Hospitalised,2
2022-06-20,12 - 19 years old,Hospitalised,6
2022-06-21,12 - 19 years old,Hospitalised,10
2022-06-22,12 - 19 years old,Hospitalised,6
2022-06-23,12 - 19 years old,Hospitalised,7
2022-06-24,12 - 19 years old,Hospitalised,6
2022-06-25,12 - 19 years old,Hospitalised,4
2022-06-26,12 - 19 years old,Hospitalised,6
2022-06-27,12 - 19 years old,Hospitalised,5
2022-06-28,12 - 19 years old,Hospitalised,4
2022-06-29,12 - 19 years old,Hospitalised,5
2022-06-30,12 - 19 years old,Hospitalised,6
2022-07-01,12 - 19 years old,Hospitalised,7
2022-07-02,12 - 19 years old,Hospitalised,8
2022-07-03,12 - 19 years old,Hospitalised,8
2022-07-04,12 - 19 years old,Hospitalised,5
2022-07-05,12 - 19 years old,Hospitalised,5
2022-07-06,12 - 19 years old,Hospitalised,3
2022-06-27,0 - 11 years old,Deceased (based on date of death),1
2022-06-09,0 - 11 years old,ICU,1
2022-06-22,0 - 11 years old,ICU,1
2022-06-23,0 - 11 years old,ICU,1
2022-06-24,0 - 11 years old,ICU,1
2022-06-25,0 - 11 years old,ICU,2
2022-06-26,0 - 11 years old,ICU,1
2022-07-01,0 - 11 years old,ICU,1
2022-07-02,0 - 11 years old,ICU,1
2022-07-03,0 - 11 years old,ICU,1
2022-07-04,0 - 11 years old,ICU,1
2022-07-05,0 - 11 years old,ICU,1
2022-07-06,0 - 11 years old,ICU,1
2022-06-09,0 - 11 years old,Requires Oxygen Supplementation in General Ward,1
2022-06-10,0 - 11 years old,Requires Oxygen Supplementation in General Ward,1
2022-06-11,0 - 11 years old,Requires Oxygen Supplementation in General Ward,1
2022-06-12,0 - 11 years old,Requires Oxygen Supplementation in General Ward,1
2022-06-13,0 - 11 years old,Requires Oxygen Supplementation in General Ward,1
2022-06-14,0 - 11 years old,Requires Oxygen Supplementation in General Ward,1
2022-06-09,0 - 11 years old,Hospitalised,8
2022-06-10,0 - 11 years old,Hospitalised,8
2022-06-11,0 - 11 years old,Hospitalised,9
2022-06-12,0 - 11 years old,Hospitalised,10
2022-06-13,0 - 11 years old,Hospitalised,18
2022-06-14,0 - 11 years old,Hospitalised,16
2022-06-15,0 - 11 years old,Hospitalised,10
2022-06-16,0 - 11 years old,Hospitalised,14
2022-06-17,0 - 11 years old,Hospitalised,12
2022-06-18,0 - 11 years old,Hospitalised,16
2022-06-19,0 - 11 years old,Hospitalised,19
2022-06-20,0 - 11 years old,Hospitalised,18
2022-06-21,0 - 11 years old,Hospitalised,25
2022-06-22,0 - 11 years old,Hospitalised,24
2022-06-23,0 - 11 years old,Hospitalised,25
2022-06-24,0 - 11 years old,Hospitalised,27
2022-06-25,0 - 11 years old,Hospitalised,22
2022-06-26,0 - 11 years old,Hospitalised,23
2022-06-27,0 - 11 years old,Hospitalised,28
2022-06-28,0 - 11 years old,Hospitalised,31
2022-06-29,0 - 11 years old,Hospitalised,32
2022-06-30,0 - 11 years old,Hospitalised,29
2022-07-01,0 - 11 years old,Hospitalised,38
2022-07-02,0 - 11 years old,Hospitalised,39
2022-07-03,0 - 11 years old,Hospitalised,33
2022-07-04,0 - 11 years old,Hospitalised,46
2022-07-05,0 - 11 years old,Hospitalised,45
2022-07-06,0 - 11 years old,Hospitalised,39
